site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Lulla Nagar,20-Dec,3,Shmes O,3,1,1350,Super built-up  Area,47.25
Mahatma Gandhi Road,Ready To Move,3,MBireap,2,2,1230,Super built-up  Area,52
Mangalwar peth,18-Apr,3,SNnia E,2,2,1520,Super built-up  Area,85
Manik Bagh,21-Dec,1,PrarePa,1,1,525,Super built-up  Area,26.25
Ma et yard,20-Oct,2,Skume R,2,1,1040,Super built-up  Area,61
Model colony,Ready To Move,3,,2,1,1300,Built-up  Area,67
Mukund Nagar,18-Dec,4,Jaades ,4,3,2690,Super built-up  Area,201
Mundhawa,Ready To Move,1,Saiewas,1,1,780,Super built-up  Area,70
Nagar Road,Ready To Move,2,Saite G,2,1,1140,Super built-up  Area,51.2
Nana Peth,19-Jan,3,SuVue S,3,1,1225,Super built-up  Area,33.08
Narayan Peth,Ready To Move,1,MYncysi,1,0,646,Built-up  Area,25.84
Narayangaon,Ready To Move,3,,3,1,1600,Super built-up  Area,150
Navi Peth,18-Apr,3,Alestrb,4,3,1890,Super built-up  Area,125
Padmavati,Ready To Move,2,,2,1,1050,Built-up  Area,34
Parvati Darshan,Ready To Move,6,,4,2,1200,Plot  Area,100
Pashan,Ready To Move,3,BMttaor,2,2,1458,Super built-up  Area,62
Paud Road,Ready To Move,5,,6,0,1200,Plot  Area,86
Pirangut,Ready To Move,3,,3,2,1970,Super built-up  Area,160
Prabhat Road,Ready To Move,3,,4,0,1808,Plot  Area,80
Pune Railway Station,Ready To Move,2,Soresea,2,1,1007,Built-up  Area,67
Rasta Peth,Ready To Move,2,M ondit,2,1,1105,Super built-up  Area,50
Raviwar Peth,Ready To Move,3,RothaVa,3,3,1700,Super built-up  Area,150
Sadashiv Peth,Ready To Move,2,Dehts H,2,3,1170,Super built-up  Area,50
Sahakar Nagar,Ready To Move,2,GCbowai,2,3,1080,Built-up  Area,45
Salunke Vihar,Ready To Move,3,Baowsig,2,1,1150,Super built-up  Area,62
Sasson Road,19-Jul,2,Vaharvi,2,1,1200,Super built-up  Area,57.9
Satara Road,Ready To Move,2,,2,1,1200,Super built-up  Area,54
Senapati Bapat Road,Ready To Move,3,Brlms P,3,2,1656,Super built-up  Area,75
Shaniwar Peth,18-Apr,4,,4,2,600,Plot  Area,87
Shivaji Nagar,Ready To Move,2,Hivesdr,2,2,1040,Super built-up  Area,50
Shukrawar Peth,Ready To Move,2,Collsrn,2,2,1085,Super built-up  Area,33.7
Sinhagad Road,18-Apr,3,,2,2,1215,Super built-up  Area,49.75
Somwar Peth,Ready To Move,4,,4,2,2150,Built-up  Area,115
Swargate,Ready To Move,4,Kreera ,4,1,1100,Plot  Area,120
Tilak Road,18-Feb,2,,2,1,1210,Super built-up  Area,77
Uruli Devachi,Ready To Move,2,SMncyy ,2,1,1050,Built-up  Area,55
Vadgaon Budruk,Ready To Move,3,,3,1,600,Plot  Area,70
Wadgaon Sheri,18-Aug,3,DNionfl,3,2,1920,Super built-up  Area,150
Viman Nagar,Ready To Move,3,,2,1,1250,Super built-up  Area,50
Vishrant Wadi,Ready To Move,2,PrntaEn,2,1,947.55,Super built-up  Area,80
Wagholi,Ready To Move,2,KencyRe,2,1,1421,Built-up  Area,90
Wakadewadi,Ready To Move,6,,4,2,1050,Plot  Area,155
Wanowrie,18-May,3,Saesttt,2,2,1425,Super built-up  Area,74.31
Warje,Ready To Move,2,PrityTr,2,1,1162,Super built-up  Area,58
Yerawada,18-Jul,1,Prtates,1,1,905,Super built-up  Area,60
Alandi Road,Ready To Move,2,Shthi S,2,1,914,Super built-up  Area,32
Ambegaon Budruk,18-Apr,2,,2,0,1258,Built-up  Area,58
Anandnagar,Ready To Move,4,,4,2,1100,Plot  Area,220
Aundh,Ready To Move,4,Prageta,4,1,3500,Plot  Area,289
Aundh Road,Ready To Move,7,,6,,2400,Plot  Area,450
Balaji Nagar,Ready To Move,4,,4,,4200,Built-up  Area,800
Baner,Ready To Move,3,BMttaor,2,3,1537,Super built-up  Area,70
Baner road,Ready To Move,3,,2,2,1230,Super built-up  Area,53.51
Bhanda ar Road,Ready To Move,6,,5,2,2400,Plot  Area,300
Bhavani Peth,Ready To Move,3,Aimesya,3,1,2250,Super built-up  Area,200
Bibvewadi,Ready To Move,4,KrineAq,4,1,2000,Plot  Area,69
Budhwar Peth,Ready To Move,4,,4,0,2600,Built-up  Area,325
Bund Garden Road,16-Sep,4,,3,2,3200,Built-up  Area,250
Camp,Ready To Move,2,ACopsva,2,0,950,Built-up  Area,32
Chandan Nagar,Ready To Move,4,PueraRi,4,,4000,Super built-up  Area,200
Dapodi,Ready To Move,3,Pyikad ,2,1,1282,Super built-up  Area,48.72
Deccan Gymkhana,18-Apr,2,,2,0,1304,Built-up  Area,111
Dehu Road,Ready To Move,3,,3,2,2100,Super built-up  Area,200
Dhankawadi,Ready To Move,3,Paurt C,2,2,1220,Built-up  Area,49
Dhayari Phata,Ready To Move,3,PrityTr,3,2,1636,Super built-up  Area,85
Dhole Patil Road,Ready To Move,3,Kaiew L,3,1,1415,Built-up  Area,65
Erandwane,Ready To Move,3,Prood G,3,1,15Acres,Plot  Area,217
Fatima Nagar,Ready To Move,3,Soweray,3,2,1728,Super built-up  Area,125
Fergusson College Road,Ready To Move,3,Eladero,3,3,1680,Super built-up  Area,125
Ganesh Peth,19-Dec,2,ThBayah,2,1,1235,Super built-up  Area,140
Ganeshkhind,18-May,4,,2,1,900,Plot  Area,115
Ghorpade Peth,Ready To Move,4,,4,1,3990,Built-up  Area,260
Ghorpadi,Ready To Move,2,HMonymp,2,2,1495,Built-up  Area,83
Gokhale Nagar,Ready To Move,5,,5,1,1500,Plot  Area,175
Gultekdi,Ready To Move,3,IBityin,3,3,2501,Super built-up  Area,138
Guruwar peth,20-Dec,1,Roiti A,1,0,381,Carpet  Area,28
Hadapsar,19-Mar,4,Sothadr,5,2,3301.8,Super built-up  Area,570
Hadapsar Industrial Estate,Ready To Move,3,SaireSa,3,2,2002,Super built-up  Area,120
Hingne Khurd,17-Mar,3,Sreat R,3,0,3200,Built-up  Area,260
Jangali Maharaj Road,Ready To Move,2,,2,2,1200,Plot  Area,70
Kalyani Nagar,Ready To Move,4,,3,0,1500,Plot  Area,235
Karve Nagar,17-Sep,3,IcudiMa,3,,1942,Plot  Area,90
Karve Road,Ready To Move,3,Shitt S,,,1450 - 1595,Super built-up  Area,60.75
Kasba Peth,Ready To Move,1,,1,0,660,Built-up  Area,95
Katraj,Ready To Move,4,,6,2,1200,Plot  Area,170
Khadaki,Ready To Move,3,Itala A,3,2,1450,Built-up  Area,90
Khadki,Ready To Move,2,MDonta ,2,1,1039,Super built-up  Area,50
Kharadi,Ready To Move,2,Brglede,2,1,1210,Super built-up  Area,80
Kondhwa,Ready To Move,2,DSvar S,1,1,995,Super built-up  Area,24.88
Kondhwa Budruk,Ready To Move,3,NCa na,3,2,1620,Built-up  Area,90
Kondhwa Khurd,Ready To Move,3,LGlarAs,4,3,3204,Built-up  Area,395
Koregaon Pa ,Ready To Move,3,GonumPl,3,3,3408,Built-up  Area,260
Kothrud,Ready To Move,2,Kames S,2,3,1314,Built-up  Area,55
Law College Road,Ready To Move,2,Prityel,2,1,945,Super built-up  Area,33
Laxmi Road,Ready To Move,3,Undge T,3,2,1374,Built-up  Area,72
Lulla Nagar,19-Jan,3,PrityFa,3,3,1603,Built-up  Area,113
Mahatma Gandhi Road,Ready To Move,3,Vaens G,2,2,1230,Built-up  Area,52
Mangalwar peth,Ready To Move,1,,1,1,670,Super built-up  Area,50
Manik Bagh,Ready To Move,4,Ahriaup,3,2,1864,Super built-up  Area,105
Ma et yard,18-Jan,3,Gllas V,3,2,2500,Built-up  Area,100
Model colony,Ready To Move,3,DScon S,2,2,1625,Super built-up  Area,54
Mukund Nagar,Ready To Move,2,Sonviik,2,3,1186,Super built-up  Area,55
Nagar Road,Ready To Move,2,GMown E,1,1,770,Super built-up  Area,39.9
Nana Peth,18-Feb,2,HioraTr,2,1,1085,Super built-up  Area,45
Narayan Peth,Ready To Move,4,Soeurri,6,2,3754,Super built-up  Area,480
Narayangaon,Ready To Move,3,Ciques ,3,2,1893,Super built-up  Area,115
Navi Peth,Ready To Move,4,,3,2,600,Plot  Area,65
Padmavati,Ready To Move,3,AnentAp,2,3,1496,Super built-up  Area,78
Parvati Darshan,18-Jul,3,SunceEs,3,1,1305,Super built-up  Area,33.28
Pashan,Ready To Move,3,Shiaa S,2,2,1550,Super built-up  Area,82
Paud Road,Ready To Move,3,,2,1,1200,Super built-up  Area,58.17
Pirangut,20-Jan,3,DNncasa,2,2,1494,Super built-up  Area,94.55
Prabhat Road,Ready To Move,2,SJmesst,2,2,1286,Super built-up  Area,69
Pune Railway Station,Ready To Move,3,,4,1,600,Plot  Area,100
Rasta Peth,Ready To Move,3,MVkleiw,3,2,1860,Super built-up  Area,95
Raviwar Peth,Ready To Move,1,,1,1,425,Built-up  Area,750
Sadashiv Peth,Ready To Move,2,RInceeg,2,2,1243,Super built-up  Area,45
Sahakar Nagar,Ready To Move,2,Stlomg ,2,2,1200,Super built-up  Area,75
Salunke Vihar,Ready To Move,2,Peles P,2,2,1044,Super built-up  Area,32
Sasson Road,Ready To Move,2,SrncyRe,2,1,1040,Super built-up  Area,41.59
Satara Road,18-Jun,2,,2,2,1125,Super built-up  Area,36.94
Senapati Bapat Road,19-Jul,3,,3,1,3489,Super built-up  Area,662
Shaniwar Peth,Ready To Move,3,Prldsri,2,2,1278,Super built-up  Area,59
Shivaji Nagar,Ready To Move,6,,6,,2400,Super built-up  Area,98
Shukrawar Peth,Ready To Move,2,ViaarSa,2,1,1250,Super built-up  Area,43
Sinhagad Road,Ready To Move,5,,6,3,2400,Plot  Area,125
Somwar Peth,Ready To Move,5,Henue A,5,,4166,Plot  Area,560
Swargate,Ready To Move,2,,2,2,1210,Super built-up  Area,75
Tilak Road,Ready To Move,4,,3,2,1200,Super built-up  Area,110
Uruli Devachi,18-Apr,3,AsastDe,2,1,1157,Super built-up  Area,57.84
Vadgaon Budruk,Ready To Move,2,GrrvaGr,2,1,1185,Super built-up  Area,51.15
Wadgaon Sheri,Ready To Move,3,MancyRe,3,3,1450,Super built-up  Area,100
Viman Nagar,Ready To Move,3,Sastaat,3,2,1859,Super built-up  Area,121
Vishrant Wadi,Ready To Move,2,PhestOn,3,2,1763,Super built-up  Area,262
Wagholi,17-Sep,2,Inenshe,1,1,900,Super built-up  Area,25
Wakadewadi,Ready To Move,3,Foghaa ,3,1,1305,Super built-up  Area,60
Wanowrie,Ready To Move,3,,2,2,1200,Built-up  Area,100
Warje,Ready To Move,1,Gontsoo,1,0,763 - 805,Super built-up  Area,35.285
Yerawada,Immediate Possession,,,,,5000,Plot  Area,400
Alandi Road,Ready To Move,2,Shthi S,2,0,1150,Super built-up  Area,36.8
Ambegaon Budruk,Ready To Move,3,Agtiaur,3,3,1806,Built-up  Area,85
Anandnagar,Ready To Move,2,Srrnasa,2,2,1027,Super built-up  Area,42
Aundh,19-Jul,2,DSera S,2,1,1002,Super built-up  Area,40.08
Aundh Road,18-Apr,3,Sryalan,2,1,1220,Super built-up  Area,36.21
Balaji Nagar,Ready To Move,2,SMuilan,2,1,1109,Super built-up  Area,35.22
Baner,Ready To Move,2,DSera S,2,1,1002,Built-up  Area,40.08
Baner road,Ready To Move,2,AriosHe,2,1,1308,Super built-up  Area,89.04
Bhanda ar Road,19-Mar,2,Puachal,2,1,1232,Super built-up  Area,69.6
Bhavani Peth,18-Apr,2,,2,2,1027,Super built-up  Area,44
Bibvewadi,Ready To Move,2,,2,2,1250,Built-up  Area,65
Bopodi,Ready To Move,6,,6,3,900,Plot  Area,170
Budhwar Peth,Ready To Move,4,,4,2,960,Plot  Area,80
Bund Garden Road,Ready To Move,2,GrrvaGr,2,1,1255,Super built-up  Area,53.87
Camp,Ready To Move,3,DLhtsnd,3,3,1434,Built-up  Area,84
Chandan Nagar,Ready To Move,2,Vabow R,2,2,925,Built-up  Area,30
Dapodi,19-Dec,3,Ceezey ,3,1,1858,Super built-up  Area,123
Deccan Gymkhana,Ready To Move,2,Vithm R,2,1,1205,Built-up  Area,70
Dehu Road,18-Jul,3,V2gesre,3,2,1500,Plot  Area,90
Dhankawadi,Ready To Move,3,,3,2,1200,Plot  Area,200
Dhayari Phata,Ready To Move,2,,2,2,1020,Super built-up  Area,48.95
Dhole Patil Road,Ready To Move,2,Bhmesy ,2,1,965,Super built-up  Area,56
Erandwane,Ready To Move,5,,6,3,1800,Plot  Area,270
Fatima Nagar,Ready To Move,6,,4,2,1200,Plot  Area,90
Fergusson College Road,Ready To Move,2,PaontWa,2,2,1636,Super built-up  Area,82.89
Ganesh Peth,18-Dec,3,Dieldli,3,1,1724,Super built-up  Area,125
Ganeshkhind,18-Oct,2,Prtates,2,1,1216,Super built-up  Area,67
Ghorpade Peth,18-Feb,1,Prensya,1,1,654,Super built-up  Area,36.25
Ghorpadi,Ready To Move,4,,7,2,2460,Built-up  Area,80
Gokhale Nagar,Ready To Move,2,,2,2,1190,Super built-up  Area,41
Gultekdi,Ready To Move,7,,5,2,1200,Plot  Area,180
Guruwar peth,Ready To Move,3,PrityTr,3,2,1636,Super built-up  Area,92
Hadapsar,18-Dec,2,Shxorm ,2,2,1195,Super built-up  Area,73
Hadapsar Industrial Estate,Ready To Move,3,Vancyat,3,3,2400,Super built-up  Area,251
Hingne Khurd,Ready To Move,2,,2,1,1250,Super built-up  Area,67
Jangali Maharaj Road,Ready To Move,3,Nillsre,3,,1452,Super built-up  Area,90
Kalyani Nagar,19-Dec,3,Bhe 2ko,3,1,1546,Super built-up  Area,95
Karve Nagar,Ready To Move,4,Cetattu,6,0,3307 - 3464,Built-up  Area,142
Karve Road,Ready To Move,3,,3,1,1440,Plot  Area,275
Kasba Peth,Ready To Move,2,,3,1,2260,Plot  Area,80
Katraj,Ready To Move,4,,3,2,2700,Plot  Area,90
Khadaki,Ready To Move,2,Suurtni,2,2,1475,Super built-up  Area,171
Khadki,Ready To Move,4,Arentra,3,2,3000,Built-up  Area,150
Kharadi,Ready To Move,1,,1,0,375,Built-up  Area,26
Kondhwa,Ready To Move,2,Soresea,2,1,1007,Super built-up  Area,66
Kondhwa Budruk,Ready To Move,1,,1,0,1.26Acres,Plot  Area,125
Kondhwa Khurd,Ready To Move,4,,6,,5422,Super built-up  Area,1900
Koregaon Pa ,Ready To Move,2,,2,3,1020,Super built-up  Area,47
Kothrud,Ready To Move,2,,2,0,1000,Super built-up  Area,150
Law College Road,Ready To Move,2,,3,1,800,Plot  Area,59.5
Laxmi Road,Ready To Move,5,,3,2,1200,Plot  Area,95
Lulla Nagar,Ready To Move,2,,2,3,1125,Super built-up  Area,55
Mangalwar peth,Ready To Move,3,CoaveAt,2,1,909,Built-up  Area,43
Manik Bagh,Ready To Move,4,,5,0,2850,Built-up  Area,240
Ma et yard,Ready To Move,2,Ciques ,2,3,1400,Super built-up  Area,85
Model colony,Ready To Move,2,,2,2,1152,Super built-up  Area,61
Mukund Nagar,Ready To Move,2,,2,1,958,Super built-up  Area,34.49
Mundhawa,Ready To Move,2,SrireSo,2,2,1150,Super built-up  Area,55
Nagar Road,Ready To Move,3,Brica E,5,1,2990,Super built-up  Area,173
Nana Peth,Ready To Move,2,Trows M,2,2,1310,Super built-up  Area,85
Narayan Peth,Ready To Move,3,Saageat,2,2,1590,Super built-up  Area,126
Narayangaon,Ready To Move,3,SoosePr,3,2,1645,Super built-up  Area,110
Navi Peth,Ready To Move,3,,2,2,1800,Built-up  Area,100
Padmavati,Ready To Move,3,Soitya ,3,2,1795,Super built-up  Area,150
Parvati Darshan,Ready To Move,2,,2,3,1100,Super built-up  Area,35
Pashan,18-Nov,1,Bhe 2ko,1,0,620 - 934,Super built-up  Area,38.535
Paud Road,Ready To Move,2,Sothin ,2,2,925,Super built-up  Area,70
Pirangut,Ready To Move,3,,3,3,1542.14,Super built-up  Area,120
Prabhat Road,Ready To Move,4,Prasa W,6,1,3746,Plot  Area,375
Pune Railway Station,Ready To Move,3,MenueNo,2,2,1430,Super built-up  Area,54
Rasta Peth,Ready To Move,2,Jaw 2 L,2,2,1020,Super built-up  Area,55
Raviwar Peth,Ready To Move,4,,2,1,750,Plot  Area,42
Sadashiv Peth,18-May,2,Sryalan,2,1,1140,Super built-up  Area,32.92
Sahakar Nagar,Ready To Move,3,,2,1,967,Built-up  Area,45
Salunke Vihar,19-Jun,4,Raard B,4,2,2470,Super built-up  Area,203
Sasson Road,Ready To Move,2,PavanSa,1,0,850,Built-up  Area,35.5
Satara Road,Ready To Move,2,,2,2,1100,Super built-up  Area,32
Senapati Bapat Road,Ready To Move,3,Soitya ,3,2,1697,Super built-up  Area,110
Shaniwar Peth,Ready To Move,2,,2,2,1250,Super built-up  Area,47
Shivaji Nagar,Ready To Move,2,Pridei ,2,2,1120,Super built-up  Area,50
Shukrawar Peth,Ready To Move,4,,4,0,1200,Plot  Area,95
Sinhagad Road,Ready To Move,5,,6,3,5100,Plot  Area,375
Somwar Peth,Ready To Move,4,,3,2,2400,Plot  Area,480
Swargate,Ready To Move,2,,2,1,1200,Super built-up  Area,52
Tilak Road,Ready To Move,2,,2,1,1100,Super built-up  Area,44
Uruli Devachi,Ready To Move,3,,2,2,1417,Super built-up  Area,76
Vadgaon Budruk,Ready To Move,3,Bhmesy ,3,1,1492,Built-up  Area,88
Wadgaon Sheri,22-Nov,3,Sabixtt,3,3,1498,Super built-up  Area,79.15
Viman Nagar,Ready To Move,4,Sohid O,2,1,3500,Built-up  Area,350
Vishrant Wadi,Ready To Move,2,Rasom B,2,1,1010,Super built-up  Area,48.27
Wagholi,Ready To Move,2,Shateor,2,2,1255,Super built-up  Area,53.5
Wakadewadi,Ready To Move,2,Unm 2El,2,1,1050,Super built-up  Area,35
Wanowrie,Ready To Move,3,SoitaCa,3,2,1847,Super built-up  Area,125
Warje,18-May,2,,2,2,1200,Super built-up  Area,55
Yerawada,Ready To Move,2,,2,2,982,Super built-up  Area,37.28
Alandi Road,Ready To Move,3,SoisoCa,4,2,2144.6,Super built-up  Area,145
Ambegaon Budruk,Ready To Move,2,VBeriav,2,1,750,Super built-up  Area,36.5
Anandnagar,Ready To Move,2,Itvir M,2,2,919,Super built-up  Area,35
Aundh,Ready To Move,2,PrityTr,2,1,1087,Super built-up  Area,54.3
Aundh Road,Ready To Move,3,Bustain,3,2,1480,Built-up  Area,74
Balaji Nagar,Ready To Move,2,,2,2,1180,Built-up  Area,52
Baner,Ready To Move,3,,4,2,2100,Super built-up  Area,255
Baner road,Ready To Move,3,DLhtsan,3,2,1221,Super built-up  Area,65
Bhanda ar Road,Ready To Move,2,,2,2,1194,Super built-up  Area,46
Bhavani Peth,Ready To Move,3,MSureRR,3,2,2072,Built-up  Area,122
Bibvewadi,18-Dec,3,,3,2,1600,Built-up  Area,69
Bopodi,Ready To Move,3,,3,2,2200,Super built-up  Area,98
Budhwar Peth,Ready To Move,3,Brway G,3,3,1640,Super built-up  Area,220
Bund Garden Road,Ready To Move,2,Srsica ,2,2,1253,Super built-up  Area,81.5
Camp,Ready To Move,2,Koagati,2,1,1061,Super built-up  Area,54.92
Chandan Nagar,Ready To Move,3,,3,2,1950,Super built-up  Area,115
Dapodi,Ready To Move,2,Suvals ,2,2,1250,Built-up  Area,68
Deccan Gymkhana,Ready To Move,3,MItatHa,2,3,1585,Super built-up  Area,80
Dehu Road,Ready To Move,3,JRrnauv,3,3,1452,Super built-up  Area,60.98
Dhankawadi,Ready To Move,2,Prncy R,2,2,1015,Super built-up  Area,37
Dhayari Phata,19-Aug,4,Pruthg ,6,0,2462 - 2467,Super built-up  Area,118
Dhole Patil Road,Ready To Move,2,,2,2,1125,Super built-up  Area,56.8
Erandwane,18-May,2,MJtroty,2,2,1116,Super built-up  Area,40
Fatima Nagar,Ready To Move,1,,1,0,400,Built-up  Area,35
Fergusson College Road,Ready To Move,4,Vaidsi ,4,2,4000,Super built-up  Area,325
Ganesh Peth,Ready To Move,4,RMudeat,4,2,3900,Super built-up  Area,410
Ganeshkhind,Ready To Move,2,Sastaat,2,2,1300,Super built-up  Area,100
Ghorpade Peth,Ready To Move,2,GrrvaGr,2,1,1419,Super built-up  Area,60.42
Ghorpadi,Ready To Move,3,DSionhe,2,1,1310,Super built-up  Area,55
Gokhale Nagar,Ready To Move,3,Prtanha,4,2,2072,Super built-up  Area,152
Gultekdi,Ready To Move,2,KKersow,2,1,1240,Built-up  Area,58.58
Guruwar peth,Ready To Move,3,,3,2,1565,Built-up  Area,98.91
Hadapsar,Ready To Move,3,PrityTr,3,2,1820,Super built-up  Area,89
Hadapsar Industrial Estate,Ready To Move,3,,3,1,2500,Plot  Area,88
Hingne Khurd,Ready To Move,5,Skdia A,5,,3657,Plot  Area,310
Jangali Maharaj Road,Ready To Move,2,,2,1,1245,Super built-up  Area,62
Kalyani Nagar,Ready To Move,3,MSuntra,3,1,1315,Super built-up  Area,65
Karve Nagar,Ready To Move,3,Unateit,2,2,1410,Super built-up  Area,73
Karve Road,Ready To Move,2,Indesve,2,1,1375,Super built-up  Area,60
Kasba Peth,Ready To Move,2,Sastaat,2,2,1299,Super built-up  Area,95
Katraj,Ready To Move,2,Pancy R,2,3,993,Super built-up  Area,45.5
Khadaki,Ready To Move,2,,3,0,1200,Plot  Area,45
Khadki,Ready To Move,2,,2,1,985,Super built-up  Area,156
Kharadi,Ready To Move,4,,5,3,2400,Built-up  Area,180
Kondhwa,18-Nov,3,Magiaya,2,1,1255,Super built-up  Area,95
Kondhwa Budruk,22-Jun,3,GoAirej,3,2,1655,Super built-up  Area,131
Kondhwa Khurd,18-Dec,4,Prtates,5,3,2830,Super built-up  Area,190
Koregaon Pa ,Ready To Move,1,,1,1,6000,Super built-up  Area,276
Kothrud,Ready To Move,2,Itelaa ,1,1,550,Built-up  Area,15
Law College Road,Ready To Move,1,,2,1,825,Super built-up  Area,40
Laxmi Road,20-Aug,3,Pruthg ,3,1,1634,Super built-up  Area,111
Mahatma Gandhi Road,Ready To Move,2,,2,2,1222,Super built-up  Area,80
Mangalwar peth,Ready To Move,3,Pridei ,3,2,1500,Super built-up  Area,63
Manik Bagh,Ready To Move,3,,4,2,1890,Super built-up  Area,100
Ma et yard,Ready To Move,4,Sotosty,6,2,3750,Built-up  Area,375
Model colony,Ready To Move,2,,1,1,850,Super built-up  Area,39.5
Mukund Nagar,Ready To Move,2,Veales ,2,3,1295,Super built-up  Area,78.5
Mundhawa,Ready To Move,2,DSndsod,2,1,1320,Super built-up  Area,100
Nagar Road,Ready To Move,4,,3,3,950,Built-up  Area,179
Nana Peth,Ready To Move,4,,4,2,1200,Plot  Area,225
Narayan Peth,Ready To Move,4,,3,3,3000,Built-up  Area,170
Narayangaon,Ready To Move,2,,2,1,1197,Built-up  Area,82
Navi Peth,Ready To Move,3,,2,3,1320,Super built-up  Area,60
Padmavati,Ready To Move,5,,5,2,1180,Plot  Area,98.5
Parvati Darshan,20-Dec,1,Oreldhi,1,1,840,Super built-up  Area,57.6
Pashan,20-Dec,1,Somns T,1,0,540 - 740,Super built-up  Area,19.83
Paud Road,Ready To Move,3,GrrvaGr,3,1,1693,Super built-up  Area,71.38
Pirangut,Ready To Move,2,,2,1,1000,Super built-up  Area,62
Prabhat Road,Ready To Move,2,AReenui,2,1,1305,Built-up  Area,70
Pune Railway Station,Ready To Move,1,Jae 1ke,1,1,450,Built-up  Area,18
Rasta Peth,Ready To Move,1,Pu270a ,1,1,705,Super built-up  Area,57
Raviwar Peth,Ready To Move,4,,6,2,750,Super built-up  Area,75
Sadashiv Peth,Ready To Move,5,,5,2,4800,Built-up  Area,150
Sahakar Nagar,Ready To Move,4,,5,,5000,Built-up  Area,600
Salunke Vihar,Ready To Move,4,,4,3,5000,Plot  Area,425
Sasson Road,18-Dec,3,,3,2,1991,Built-up  Area,104
Satara Road,Ready To Move,3,PaontWa,3,2,1779,Super built-up  Area,90
Senapati Bapat Road,Ready To Move,4,Adowslm,4,1,10200,Plot  Area,1250
Shaniwar Peth,Ready To Move,2,RailsDa,2,2,870,Super built-up  Area,38
Shivaji Nagar,18-May,3,Bhmesy ,3,2,1595,Super built-up  Area,120
Shukrawar Peth,21-Dec,1,PrarePa,1,1,525,Super built-up  Area,26
Sinhagad Road,Ready To Move,4,,5,2,945,Plot  Area,120
Somwar Peth,18-Apr,6,,4,2,2400,Plot  Area,420
Swargate,18-Dec,3,DNionfl,4,2,2000,Super built-up  Area,138
Tilak Road,Ready To Move,3,NCa na,3,2,1614,Super built-up  Area,93
Uruli Devachi,Ready To Move,2,,2,3,1200,Super built-up  Area,40
Vadgaon Budruk,Ready To Move,3,Sravehi,3,3,1150,Built-up  Area,46
Wadgaon Sheri,Ready To Move,4,,4,,3200,Super built-up  Area,440
Viman Nagar,18-Dec,3,Skacak ,3,2,1610,Super built-up  Area,80.48
Vishrant Wadi,Ready To Move,2,,2,2,1190,Super built-up  Area,41
Wagholi,Ready To Move,2,SMncyy ,2,2,1050,Super built-up  Area,50
Wakadewadi,Ready To Move,4,Prsisge,5,2,4800,Plot  Area,420
Wanowrie,Ready To Move,3,Brnia G,2,1,1460,Super built-up  Area,97
Warje,Ready To Move,3,,3,3,3400,Super built-up  Area,400
Yerawada,Ready To Move,1,,1,0,600,Plot  Area,33
Alandi Road,Ready To Move,3,AritaFe,3,0,1569,Built-up  Area,70
Ambegaon Budruk,18-Dec,3,,3,2,2600,Built-up  Area,147
Anandnagar,Ready To Move,1,Shiaa S,1,0,645,Super built-up  Area,42.5
Aundh,Ready To Move,4,,3,1,1200,Plot  Area,180
Aundh Road,Ready To Move,3,,3,0,800,Plot  Area,95
Balaji Nagar,Ready To Move,2,,2,1,800,Built-up  Area,80
Baner,Ready To Move,2,Asintas,2,1,1350,Super built-up  Area,90
Baner road,Ready To Move,3,SNe 2ev,4,1,2780,Super built-up  Area,325
Bhanda ar Road,18-Mar,3,,2,2,1410,Super built-up  Area,45.12
Bhavani Peth,Ready To Move,2,SMuilan,2,1,1109,Super built-up  Area,35.47
Bibvewadi,Ready To Move,4,LeeyaCa,3,2,2000,Super built-up  Area,1063
Bopodi,Ready To Move,1,,1,0,800,Built-up  Area,72
Budhwar Peth,Ready To Move,2,SNity S,2,1,1215,Super built-up  Area,68
Camp,Ready To Move,3,Prigh L,4,2,2273,Built-up  Area,192
Chandan Nagar,18-Aug,2,,2,2,1255,Super built-up  Area,52.76
Dapodi,Ready To Move,2,,2,1,1020,Super built-up  Area,49
Deccan Gymkhana,18-Jul,3,,2,2,1225,Super built-up  Area,82
Dehu Road,Ready To Move,2,,2,1,1120,Super built-up  Area,60
Dhankawadi,Ready To Move,5,,5,3,2400,Plot  Area,625
Dhayari Phata,Ready To Move,3,Conixt ,2,1,1225,Super built-up  Area,69
Dhole Patil Road,Ready To Move,4,UKe 2nz,5,3,5200,Plot  Area,242
Erandwane,Ready To Move,4,,4,1,4000,Built-up  Area,700
Fatima Nagar,Ready To Move,3,Puallhi,4,1,1984,Super built-up  Area,145
Fergusson College Road,Ready To Move,3,Saciatt,3,1,2425,Super built-up  Area,197
Ganesh Peth,18-Sep,3,,3,1,1200,Plot  Area,56.12
Ganeshkhind,18-Aug,2,DSoodil,2,1,1127,Super built-up  Area,45
Ghorpade Peth,18-Jun,3,,3,2,1655,Built-up  Area,97
Ghorpadi,18-Aug,1,,1,1,500,Super built-up  Area,14
Gokhale Nagar,18-Jul,3,,3,1,1200,Plot  Area,68.38
Gultekdi,Ready To Move,2,P num P,2,2,1000,Super built-up  Area,43
Guruwar peth,18-Jul,2,,2,2,1225,Super built-up  Area,47.88
Hadapsar,Ready To Move,2,Hedosme,2,2,1350,Super built-up  Area,45
